school_name,subject_name,name,code,credit_hours
North Ridge Elementary,Pre-Algebra,Pre-Algebra,PREALG,1.00
North Ridge Elementary,Algebra I,Algebra I,ALG1,1.00
North Ridge Elementary,Geometry,Geometry,GEOM,1.00
North Ridge Elementary,Algebra II,Algebra II,ALG2,1.00
North Ridge Elementary,Precalculus,Precalculus,PRECALC,1.00
North Ridge Elementary,Calculus,Calculus,CALC,1.00
North Ridge Elementary,Statistics,Statistics,STATS,1.00
North Ridge Elementary,Earth Science,Earth Science,EARTH,1.00
North Ridge Elementary,Physical Science,Physical Science,PHYSCI,1.00
North Ridge Elementary,Biology,Biology,BIO,1.00
North Ridge Elementary,Chemistry,Chemistry,CHEM,1.00
North Ridge Elementary,Physics,Physics,PHYS,1.00
North Ridge Elementary,Environmental Science,Environmental Science,ENVS,1.00
North Ridge Elementary,Anatomy & Physiology,Anatomy & Physiology,ANAT,1.00
North Ridge Elementary,World History,World History,WHIST,1.00
North Ridge Elementary,U.S. History,U.S. History,USHIST,1.00
North Ridge Elementary,Government/Civics,Government/Civics,GOV,1.00
North Ridge Elementary,Economics,Economics,ECON,1.00
North Ridge Elementary,Geography,Geography,GEOG,1.00
North Ridge Elementary,Psychology,Psychology,PSYCH,1.00
North Ridge Elementary,Sociology,Sociology,SOC,1.00
North Ridge Elementary,Spanish I,Spanish I,SPAN1,1.00
North Ridge Elementary,Spanish II,Spanish II,SPAN2,1.00
North Ridge Elementary,French I,French I,FREN1,1.00
North Ridge Elementary,French II,French II,FREN2,1.00
North Ridge Elementary,German I,German I,GERM1,1.00
North Ridge Elementary,German II,German II,GERM2,1.00
North Ridge Elementary,Art I,Art I,ART1,1.00
North Ridge Elementary,Art II,Art II,ART2,1.00
North Ridge Elementary,Drawing,Drawing,DRAW,1.00
North Ridge Elementary,Painting,Painting,PAINT,1.00
North Ridge Elementary,Sculpture,Sculpture,SCULPT,1.00
North Ridge Elementary,Digital Art,Digital Art,DIGART,1.00
North Ridge Elementary,Band,Band,BAND,1.00
North Ridge Elementary,Choir,Choir,CHOIR,1.00
North Ridge Elementary,Orchestra,Orchestra,ORCH,1.00
North Ridge Elementary,Jazz Band,Jazz Band,JAZZ,1.00
North Ridge Elementary,Music Theory,Music Theory,MUSTH,1.00
North Ridge Elementary,PE 9,PE 9,PE9,1.00
North Ridge Elementary,PE 10,PE 10,PE10,1.00
North Ridge Elementary,Weight Training,Weight Training,WEIGHTS,1.00
North Ridge Elementary,Lifetime Fitness,Lifetime Fitness,FIT,1.00
North Ridge Elementary,Health,Health,HEALTH,1.00
North Ridge Elementary,Nutrition & Wellness,Nutrition & Wellness,NUTR,1.00
North Ridge Elementary,Business Essentials,Business Essentials,BUS,1.00
North Ridge Elementary,Accounting,Accounting,ACCT,1.00
North Ridge Elementary,Marketing,Marketing,MKTG,1.00
North Ridge Elementary,Entrepreneurship,Entrepreneurship,ENTR,1.00
North Ridge Elementary,Computer Applications,Computer Applications,COMPAPP,1.00
North Ridge Elementary,Engineering/PLTW,Engineering/PLTW,ENGR,1.00
North Ridge Elementary,Robotics,Robotics,ROBOT,1.00
North Ridge Elementary,Culinary Arts,Culinary Arts,CUL,1.00
North Ridge Elementary,Construction Trades,Construction Trades,CONST,1.00
North Ridge Elementary,Automotive Technology,Automotive Technology,AUTO,1.00
North Ridge Elementary,Intro to Computer Science,Intro to Computer Science,ICS,1.00
North Ridge Elementary,AP Computer Science Principles,AP Computer Science Principles,APCSP,1.00
North Ridge Elementary,AP Computer Science A,AP Computer Science A,APCSA,1.00
North Ridge Elementary,Web Development,Web Development,WEBDEV,1.00
North Ridge Elementary,Cybersecurity,Cybersecurity,CYBER,1.00
North Ridge Elementary,Data Science,Data Science,DATASCI,1.00
North Ridge Elementary,Resource English,Resource English,R-ELA,1.00
North Ridge Elementary,Resource Math,Resource Math,R-MATH,1.00
North Ridge Elementary,Study Skills,Study Skills,STUDY,1.00
North Ridge Elementary,ELL Beginner,ELL Beginner,ELL1,1.00
North Ridge Elementary,ELL Intermediate,ELL Intermediate,ELL2,1.00
North Ridge Elementary,ELL Advanced,ELL Advanced,ELL3,1.00
North Ridge Elementary,Child Development,Child Development,CHILD,1.00
North Ridge Elementary,Foods & Nutrition,Foods & Nutrition,FOODS,1.00
North Ridge Elementary,Family & Consumer Science,Family & Consumer Science,FCS,1.00
North Ridge Elementary,Agricultural Science,Agricultural Science,AGSCI,1.00
North Ridge Elementary,Animal Science,Animal Science,ANSCI,1.00
North Ridge Elementary,Plant Science,Plant Science,PLANT,1.00
North Ridge Elementary,General Studies,General Studies,GEN,1.00
South Prairie Elementary,English 9,English 9,ELA9,1.00
South Prairie Elementary,English 10,English 10,ELA10,1.00
South Prairie Elementary,English 11,English 11,ELA11,1.00
South Prairie Elementary,English 12,English 12,ELA12,1.00
South Prairie Elementary,Literature,Literature,LIT,1.00
South Prairie Elementary,Writing/Composition,Writing/Composition,COMP,1.00
South Prairie Elementary,Journalism,Journalism,JOUR,1.00
South Prairie Elementary,Speech/Communications,Speech/Communications,SPEECH,1.00
South Prairie Elementary,Reading,Reading,READ,1.00
South Prairie Elementary,Math 6,Math 6,MATH6,1.00
South Prairie Elementary,Pre-Algebra,Pre-Algebra,PREALG,1.00
South Prairie Elementary,Algebra I,Algebra I,ALG1,1.00
South Prairie Elementary,Geometry,Geometry,GEOM,1.00
South Prairie Elementary,Algebra II,Algebra II,ALG2,1.00
South Prairie Elementary,Precalculus,Precalculus,PRECALC,1.00
South Prairie Elementary,Calculus,Calculus,CALC,1.00
South Prairie Elementary,Statistics,Statistics,STATS,1.00
South Prairie Elementary,Earth Science,Earth Science,EARTH,1.00
South Prairie Elementary,Physical Science,Physical Science,PHYSCI,1.00
South Prairie Elementary,Biology,Biology,BIO,1.00
South Prairie Elementary,Chemistry,Chemistry,CHEM,1.00
South Prairie Elementary,Physics,Physics,PHYS,1.00
South Prairie Elementary,Environmental Science,Environmental Science,ENVS,1.00
South Prairie Elementary,Anatomy & Physiology,Anatomy & Physiology,ANAT,1.00
South Prairie Elementary,World History,World History,WHIST,1.00
South Prairie Elementary,U.S. History,U.S. History,USHIST,1.00
South Prairie Elementary,Government/Civics,Government/Civics,GOV,1.00
South Prairie Elementary,Economics,Economics,ECON,1.00
South Prairie Elementary,Geography,Geography,GEOG,1.00
South Prairie Elementary,Psychology,Psychology,PSYCH,1.00
South Prairie Elementary,Sociology,Sociology,SOC,1.00
South Prairie Elementary,Spanish I,Spanish I,SPAN1,1.00
South Prairie Elementary,Spanish II,Spanish II,SPAN2,1.00
South Prairie Elementary,French I,French I,FREN1,1.00
South Prairie Elementary,French II,French II,FREN2,1.00
South Prairie Elementary,German I,German I,GERM1,1.00
South Prairie Elementary,German II,German II,GERM2,1.00
South Prairie Elementary,Art I,Art I,ART1,1.00
South Prairie Elementary,Art II,Art II,ART2,1.00
South Prairie Elementary,Drawing,Drawing,DRAW,1.00
South Prairie Elementary,Painting,Painting,PAINT,1.00
South Prairie Elementary,Sculpture,Sculpture,SCULPT,1.00
South Prairie Elementary,Digital Art,Digital Art,DIGART,1.00
South Prairie Elementary,Band,Band,BAND,1.00
South Prairie Elementary,Choir,Choir,CHOIR,1.00
South Prairie Elementary,Orchestra,Orchestra,ORCH,1.00
South Prairie Elementary,Jazz Band,Jazz Band,JAZZ,1.00
South Prairie Elementary,Music Theory,Music Theory,MUSTH,1.00
South Prairie Elementary,PE 9,PE 9,PE9,1.00
South Prairie Elementary,PE 10,PE 10,PE10,1.00
South Prairie Elementary,Weight Training,Weight Training,WEIGHTS,1.00
South Prairie Elementary,Lifetime Fitness,Lifetime Fitness,FIT,1.00
South Prairie Elementary,Health,Health,HEALTH,1.00
South Prairie Elementary,Nutrition & Wellness,Nutrition & Wellness,NUTR,1.00
South Prairie Elementary,Business Essentials,Business Essentials,BUS,1.00
South Prairie Elementary,Accounting,Accounting,ACCT,1.00
South Prairie Elementary,Marketing,Marketing,MKTG,1.00
South Prairie Elementary,Entrepreneurship,Entrepreneurship,ENTR,1.00
South Prairie Elementary,Computer Applications,Computer Applications,COMPAPP,1.00
South Prairie Elementary,Engineering/PLTW,Engineering/PLTW,ENGR,1.00
South Prairie Elementary,Robotics,Robotics,ROBOT,1.00
South Prairie Elementary,Culinary Arts,Culinary Arts,CUL,1.00
South Prairie Elementary,Construction Trades,Construction Trades,CONST,1.00
South Prairie Elementary,Automotive Technology,Automotive Technology,AUTO,1.00
South Prairie Elementary,Intro to Computer Science,Intro to Computer Science,ICS,1.00
South Prairie Elementary,AP Computer Science Principles,AP Computer Science Principles,APCSP,1.00
South Prairie Elementary,AP Computer Science A,AP Computer Science A,APCSA,1.00
South Prairie Elementary,Web Development,Web Development,WEBDEV,1.00
South Prairie Elementary,Cybersecurity,Cybersecurity,CYBER,1.00
South Prairie Elementary,Data Science,Data Science,DATASCI,1.00
South Prairie Elementary,Resource English,Resource English,R-ELA,1.00
South Prairie Elementary,Resource Math,Resource Math,R-MATH,1.00
South Prairie Elementary,Study Skills,Study Skills,STUDY,1.00
South Prairie Elementary,ELL Beginner,ELL Beginner,ELL1,1.00
South Prairie Elementary,ELL Intermediate,ELL Intermediate,ELL2,1.00
South Prairie Elementary,ELL Advanced,ELL Advanced,ELL3,1.00
South Prairie Elementary,Child Development,Child Development,CHILD,1.00
South Prairie Elementary,Foods & Nutrition,Foods & Nutrition,FOODS,1.00
South Prairie Elementary,Family & Consumer Science,Family & Consumer Science,FCS,1.00
South Prairie Elementary,Agricultural Science,Agricultural Science,AGSCI,1.00
South Prairie Elementary,Animal Science,Animal Science,ANSCI,1.00
South Prairie Elementary,Plant Science,Plant Science,PLANT,1.00
South Prairie Elementary,General Studies,General Studies,GEN,1.00
