building_code,space_code,tag,serial_no,manufacturer,model,category,status,install_date,warranty_expires_at,expected_life_months,attributes
FAC-209-BLDG-04,105,ASSET-000189,RXP643888,Daikin,X587E,HVAC - RTU,In Service,2006-06-14,2010-12-04,180,"{""tonnage"": 30}"
FAC-209-BLDG-04,103,ASSET-000190,JRV531848,Taco,Z406A,Pump,In Service,2014-06-26,2016-01-31,120,"{""gpm"": 100}"
FAC-209-BLDG-04,105,ASSET-000191,JUB661845,Axis,X828A,Security Camera,In Service,2012-06-22,2013-06-30,84,"{""resolution_mp"": 2}"
FAC-209-BLDG-04,102,ASSET-000192,EPT136853,Carrier,Q845E,HVAC - AHU,Retired,2008-02-17,2010-07-09,240,"{""tonnage"": 10}"
FAC-209-BLDG-04,106,ASSET-000193,HSW796262,NEC,M147D,Projector,In Service,2008-07-31,2010-04-28,72,
FAC-209-BLDG-04,101,ASSET-000194,MPS478288,Dell,M631B,Desktop Computer,In Service,2023-02-04,2026-03-25,60,
FAC-209-BLDG-04,108,ASSET-000195,BUE534665,Generac,Z796A,Generator,In Service,2009-02-23,2013-04-17,240,"{""power_kw"": 200}"
FAC-209-BLDG-04,109,ASSET-000196,ZHP026788,BenQ,Z693E,Projector,Spare,2007-11-10,2012-11-01,72,
FAC-209-BLDG-04,,ASSET-000197,EEN345152,Vulcan,R921D,Range/Oven,In Service,2007-09-30,2009-08-12,144,
FAC-209-BLDG-04,107,ASSET-000198,UPB759571,Bell & Gossett,M768B,Pump,In Service,2014-08-13,2016-02-17,120,"{""gpm"": 100}"
FAC-209-BLDG-04,104,ASSET-000199,ZVZ064966,EST,Z327C,Fire Alarm Panel,Retired,2008-05-09,2011-02-25,180,
FAC-209-BLDG-04,,ASSET-000200,JVL081591,Trane,Z529E,HVAC - RTU,Retired,2011-08-06,2015-08-02,180,"{""tonnage"": 5}"
FAC-209-BLDG-05,,ASSET-000201,NSZ769714,HID,R784A,Access Control Panel,In Service,2021-09-13,2023-02-10,180,
FAC-209-BLDG-05,B106,ASSET-000202,RLA656675,NEC,M522B,Projector,In Service,2022-01-13,2025-01-14,72,
FAC-209-BLDG-05,301,ASSET-000203,ADF778262,Promethean,R293E,Interactive Display,Spare,2005-10-31,2010-06-18,96,
FAC-209-BLDG-05,211,ASSET-000204,PCF772981,Ubiquiti,Q105B,Wireless AP,In Service,2009-10-29,2012-03-29,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-05,B105,ASSET-000205,GBC743161,HID,Q994C,Access Control Panel,In Service,2019-04-28,2022-02-06,180,
FAC-209-BLDG-05,209,ASSET-000206,HLA227481,Lennox,R355B,HVAC - RTU,In Service,2012-11-24,2016-06-28,180,"{""tonnage"": 50}"
FAC-209-BLDG-05,105,ASSET-000207,VXE767886,Bosch,M160B,Security Camera,Under Repair,2010-09-05,2013-12-12,84,"{""resolution_mp"": 4}"
FAC-209-BLDG-05,204,ASSET-000208,JFU724535,Cisco,M594D,Router,In Service,2009-11-21,2014-09-22,84,
FAC-209-BLDG-05,212,ASSET-000209,DTY072226,Hanwha,X155E,Security Camera,In Service,2005-11-29,2008-12-07,84,"{""resolution_mp"": 8}"
FAC-209-BLDG-05,301,ASSET-000210,GTP533580,Epson,X619D,Projector,In Service,2018-08-31,2022-07-23,72,
FAC-209-BLDG-05,214,ASSET-000211,DBR213712,NEC,M465A,Projector,Under Repair,2007-07-05,2009-02-21,72,
FAC-209-BLDG-05,204,ASSET-000212,QDN811954,Dell,M642A,Desktop Computer,Retired,2009-05-12,2010-06-19,60,
FAC-209-BLDG-05,,ASSET-000213,FKD576516,Brother,Q264C,Printer,Spare,2010-04-14,2014-08-05,60,
FAC-209-BLDG-05,210,ASSET-000214,LDC460751,Brother,Z128C,Printer,In Service,2020-09-27,2025-02-13,60,
FAC-209-BLDG-05,204,ASSET-000215,VUK577601,Promethean,M305B,Interactive Display,In Service,2018-06-13,2019-12-01,96,
FAC-209-BLDG-05,201,ASSET-000216,NKE841452,Promethean,Z070C,Interactive Display,In Service,2010-12-31,2014-01-17,96,
FAC-209-BLDG-05,207,ASSET-000217,PGH377867,Aruba,R474B,Wireless AP,In Service,2007-12-24,2009-11-19,60,"{""wifi"": ""802.11ax""}"
FAC-209-BLDG-05,306,ASSET-000218,RVV460236,Weil-McLain,Q660B,Boiler,In Service,2014-09-04,2019-02-12,180,
FAC-209-BLDG-05,116,ASSET-000219,LER820552,Johnson Controls,R598D,HVAC - AHU,In Service,2022-11-08,2025-11-13,240,"{""tonnage"": 5}"
FAC-209-BLDG-05,107,ASSET-000220,EAS957553,True,X236C,Refrigerator (Kitchen),Under Repair,2018-08-03,2022-12-26,180,
FAC-209-BLDG-06,108,ASSET-000221,HYV988569,Johnson Controls,M241A,HVAC - AHU,In Service,2006-05-24,2008-10-03,240,"{""tonnage"": 50}"
FAC-209-BLDG-06,113,ASSET-000222,KUF784357,Bosch,R884B,Security Camera,In Service,2017-03-21,2018-09-27,84,"{""resolution_mp"": 5}"
FAC-209-BLDG-06,115,ASSET-000223,ETY172222,Schneider Electric,M132C,Electrical Panel,Under Repair,2009-10-15,2012-10-13,300,
FAC-209-BLDG-06,107,ASSET-000224,WYW338852,Schneider Electric,X094A,Electrical Panel,In Service,2006-07-10,2010-05-21,300,
FAC-209-BLDG-06,111,ASSET-000225,AJW741530,HP,R154E,Printer,In Service,2015-02-25,2019-05-29,60,
FAC-209-BLDG-06,103,ASSET-000226,ELL734459,Siemens,X229B,Electrical Panel,In Service,2021-06-03,2023-12-07,300,
FAC-209-BLDG-06,104,ASSET-000227,VEM985773,Carrier,M319A,HVAC - AHU,In Service,2010-12-05,2012-03-11,240,"{""tonnage"": 30}"
FAC-209-BLDG-06,105,ASSET-000228,JJP920189,HID,X846C,Access Control Panel,In Service,2010-09-30,2015-05-22,180,
FAC-209-BLDG-06,,ASSET-000229,LBQ498694,SMART,Q235D,Interactive Display,In Service,2014-08-02,2015-12-26,96,
FAC-209-BLDG-06,112,ASSET-000230,GLW359410,NEC,Z322D,Projector,In Service,2008-10-24,2011-03-23,72,
FAC-209-BLDG-06,116,ASSET-000231,BUN916093,Cisco,Z309C,Wireless AP,In Service,2007-02-13,2009-09-16,60,"{""wifi"": ""802.11ac""}"
FAC-209-BLDG-06,116,ASSET-000232,WMW951955,Axis,M103E,Security Camera,In Service,2006-11-12,2011-06-06,84,"{""resolution_mp"": 8}"
FAC-209-BLDG-06,112,ASSET-000233,CHK105712,Hanwha,R594B,Security Camera,In Service,2008-03-27,2011-12-29,84,"{""resolution_mp"": 8}"
FAC-209-BLDG-06,106,ASSET-000234,JKP317332,KONE,X422A,Elevator,In Service,2018-04-16,2022-03-09,300,
FAC-209-BLDG-06,,ASSET-000235,KWE266261,EST,Q627E,Fire Alarm Panel,In Service,2022-07-20,2026-07-19,180,
FAC-209-BLDG-06,104,ASSET-000236,AFL743600,HP,Z140A,Printer,In Service,2020-05-21,2021-09-12,60,
FAC-209-BLDG-06,104,ASSET-000237,CUF747047,Eaton,M188E,Electrical Panel,In Service,2018-12-27,2022-08-21,300,
FAC-209-BLDG-06,103,ASSET-000238,CMH306924,HP,Q177C,Laptop,In Service,2005-11-05,2008-05-23,48,
FAC-209-BLDG-06,112,ASSET-000239,JCD069960,Axis,X074C,Security Camera,In Service,2007-12-07,2011-12-09,84,"{""resolution_mp"": 4}"
FAC-209-BLDG-06,116,ASSET-000240,LES318442,NEC,Z977E,Projector,In Service,2019-05-29,2023-08-01,72,
FAC-436-BLDG-01,302,ASSET-000241,NLV547578,Ubiquiti,M858A,Network Switch,In Service,2015-07-01,2019-12-22,84,"{""ports"": 24}"
FAC-436-BLDG-01,B104,ASSET-000242,DGK306091,Cleaver-Brooks,Q816D,Boiler,In Service,2021-04-06,2024-12-25,180,
FAC-436-BLDG-01,207,ASSET-000243,GJQ092480,Trane,M865D,Chiller,Under Repair,2022-04-20,2025-04-28,240,"{""tonnage"": 15}"
FAC-436-BLDG-01,108,ASSET-000244,WBF512316,Siemens,R065D,Electrical Panel,In Service,2019-08-26,2023-10-12,300,
FAC-436-BLDG-01,201,ASSET-000245,LCV556559,HPE,R756D,Network Switch,Spare,2011-04-29,2014-02-21,84,"{""ports"": 48}"
FAC-436-BLDG-01,303,ASSET-000246,UYG943795,BenQ,M765B,Projector,In Service,2016-11-22,2017-12-05,72,
FAC-436-BLDG-01,105,ASSET-000247,PYD031352,Bosch,X862C,Security Camera,Under Repair,2021-08-08,2025-10-19,84,"{""resolution_mp"": 4}"
FAC-436-BLDG-01,305,ASSET-000248,SVC608379,Lenovo,X344E,Desktop Computer,In Service,2013-12-03,2017-04-04,60,
FAC-436-BLDG-01,304,ASSET-000249,BNH536169,Epson,R896D,Projector,Retired,2006-10-11,2011-02-10,72,
FAC-436-BLDG-01,114,ASSET-000250,BKC571154,LenelS2,Z310C,Access Control Panel,In Service,2019-04-07,2023-05-30,180,
FAC-436-BLDG-01,114,ASSET-000251,PCK313671,Canon,M224D,Printer,In Service,2013-09-29,2018-03-28,60,
FAC-436-BLDG-01,101,ASSET-000252,BYY880614,Cisco,X378A,Wireless AP,In Service,2018-12-22,2022-12-27,60,"{""wifi"": ""802.11ax""}"
FAC-436-BLDG-01,302,ASSET-000253,PRB127606,EST,M716A,Fire Alarm Panel,In Service,2014-12-12,2019-08-25,180,
FAC-436-BLDG-01,,ASSET-000254,ZNT945019,Canon,Z128B,Printer,In Service,2007-09-07,2008-10-20,60,
FAC-436-BLDG-01,304,ASSET-000255,JHZ920239,Ubiquiti,Z470D,Wireless AP,Retired,2011-03-20,2013-10-13,60,"{""wifi"": ""802.11ax""}"
FAC-436-BLDG-01,105,ASSET-000256,RFF199352,Bosch,R039D,Security Camera,In Service,2011-07-10,2016-05-09,84,"{""resolution_mp"": 4}"
FAC-436-BLDG-01,203,ASSET-000257,URP105718,York,R894E,Chiller,In Service,2023-01-01,2025-10-14,240,"{""tonnage"": 15}"
FAC-436-BLDG-01,,ASSET-000258,DED096665,HPE,Z786D,Network Switch,In Service,2023-01-29,2026-02-02,84,"{""ports"": 48}"
FAC-436-BLDG-01,,ASSET-000259,MDE070247,Trane,M673E,HVAC - AHU,Retired,2006-09-01,2008-10-23,240,"{""tonnage"": 15}"
FAC-436-BLDG-01,B104,ASSET-000260,BTK367558,Hanwha,M342C,Security Camera,In Service,2011-12-26,2013-08-05,84,"{""resolution_mp"": 2}"
FAC-436-BLDG-02,105,ASSET-000261,RBG338446,HID,M375C,Access Control Panel,In Service,2012-01-25,2013-11-11,180,
FAC-436-BLDG-02,211,ASSET-000262,SDK415724,Carrier,M717E,HVAC - AHU,In Service,2008-02-24,2012-10-13,240,"{""tonnage"": 50}"
FAC-436-BLDG-02,208,ASSET-000263,NKU593379,Dell,R114B,Desktop Computer,In Service,2008-11-14,2010-09-17,60,
FAC-436-BLDG-02,203,ASSET-000264,EXZ070448,Carrier,X379B,HVAC - AHU,In Service,2012-08-05,2014-12-05,240,"{""tonnage"": 30}"
FAC-436-BLDG-02,206,ASSET-000265,GRV210310,HP,M460E,Laptop,In Service,2010-02-17,2012-10-20,48,
FAC-436-BLDG-02,213,ASSET-000266,QUE459023,HID,M166D,Access Control Panel,In Service,2022-02-22,2025-07-16,180,
FAC-436-BLDG-02,303,ASSET-000267,NSQ176946,Trane,Z162C,HVAC - AHU,Retired,2007-10-23,2010-06-02,240,"{""tonnage"": 50}"
FAC-436-BLDG-02,202,ASSET-000268,MTM882211,Johnson Controls,Z569D,HVAC - AHU,In Service,2005-10-17,2007-06-15,240,"{""tonnage"": 7.5}"
FAC-436-BLDG-02,109,ASSET-000269,AEG735306,Ubiquiti,Q435D,Network Switch,In Service,2007-06-01,2011-08-09,84,"{""ports"": 24}"
FAC-436-BLDG-02,212,ASSET-000270,ADD488489,Schneider Electric,X894C,Electrical Panel,In Service,2011-12-23,2014-08-27,300,
FAC-436-BLDG-02,213,ASSET-000271,XJZ209685,Ubiquiti,Z526D,Wireless AP,In Service,2010-04-25,2011-12-20,60,"{""wifi"": ""802.11ax""}"
FAC-436-BLDG-02,109,ASSET-000272,VHN130205,Promethean,R208B,Interactive Display,In Service,2012-06-12,2014-04-23,96,
FAC-436-BLDG-02,310,ASSET-000273,SDT475096,Traulsen,R188E,Refrigerator (Kitchen),In Service,2021-09-16,2024-07-29,180,
FAC-436-BLDG-02,112,ASSET-000274,RFE257621,HID,X770D,Access Control Panel,In Service,2009-09-09,2013-10-29,180,
FAC-436-BLDG-02,305,ASSET-000275,PEH850090,Dell,M529E,Desktop Computer,In Service,2021-09-24,2025-02-13,60,
FAC-436-BLDG-02,206,ASSET-000276,EUV097508,Ubiquiti,R643B,Network Switch,In Service,2021-06-25,2025-01-13,84,"{""ports"": 48}"
FAC-436-BLDG-02,307,ASSET-000277,KSR784043,Traulsen,Z286E,Refrigerator (Kitchen),In Service,2019-10-31,2022-05-31,180,
FAC-436-BLDG-02,103,ASSET-000278,PBH452214,York,M547A,HVAC - RTU,In Service,2018-12-29,2023-11-19,180,"{""tonnage"": 50}"
FAC-436-BLDG-02,111,ASSET-000279,TTW153043,Juniper,M361D,Router,In Service,2010-03-31,2011-11-08,84,
FAC-436-BLDG-02,210,ASSET-000280,VXX601153,York,R346A,HVAC - RTU,In Service,2019-04-11,2021-06-05,180,"{""tonnage"": 10}"
FAC-436-BLDG-03,211,ASSET-000281,ZJC094123,Simplex,M939C,Fire Alarm Panel,In Service,2022-06-21,2023-06-22,180,
FAC-436-BLDG-03,207,ASSET-000282,RTK421158,Siemens,X204C,Electrical Panel,In Service,2014-04-22,2016-03-02,300,
FAC-436-BLDG-03,201,ASSET-000283,RZD188869,Taco,X061E,Pump,In Service,2013-06-21,2017-04-29,120,"{""gpm"": 200}"
FAC-436-BLDG-03,105,ASSET-000284,FNK539571,Bosch,Z165E,Security Camera,In Service,2008-03-05,2009-08-15,84,"{""resolution_mp"": 5}"
FAC-436-BLDG-03,206,ASSET-000285,RSS556950,Bosch,M562D,Security Camera,In Service,2013-02-20,2017-05-10,84,"{""resolution_mp"": 8}"
FAC-436-BLDG-03,,ASSET-000286,TTP041098,Johnson Controls,Q720E,HVAC - AHU,In Service,2017-03-25,2020-12-11,240,"{""tonnage"": 20}"
FAC-436-BLDG-03,206,ASSET-000287,ACE514827,Epson,Q212E,Projector,In Service,2005-09-25,2009-09-09,72,
FAC-436-BLDG-03,107,ASSET-000288,KKR715802,Dell,Q588D,Laptop,Under Repair,2022-06-26,2024-06-03,48,
FAC-436-BLDG-03,207,ASSET-000289,MDW094696,Bell & Gossett,R753D,Pump,In Service,2011-09-30,2016-04-26,120,"{""gpm"": 200}"
FAC-436-BLDG-03,108,ASSET-000290,RKU775136,Hanwha,Q832A,Security Camera,In Service,2011-05-19,2012-06-08,84,"{""resolution_mp"": 2}"
FAC-436-BLDG-03,101,ASSET-000291,GAQ058251,Axis,M563D,Security Camera,Retired,2021-09-22,2026-02-11,84,"{""resolution_mp"": 4}"
FAC-436-BLDG-03,210,ASSET-000292,YGL973107,Axis,R249D,Security Camera,In Service,2016-03-14,2017-07-15,84,"{""resolution_mp"": 5}"
FAC-436-BLDG-03,,ASSET-000293,MDU269710,HP,M496A,Printer,In Service,2018-01-16,2021-07-17,60,
FAC-436-BLDG-03,,ASSET-000294,SXP594487,HP,X696B,Desktop Computer,In Service,2011-07-20,2013-10-24,60,
FAC-436-BLDG-03,107,ASSET-000295,SKR905904,EST,Q459B,Fire Alarm Panel,In Service,2009-02-18,2011-04-09,180,
FAC-436-BLDG-03,101,ASSET-000296,SMX410092,Grundfos,Q623A,Pump,In Service,2005-11-18,2009-11-29,120,"{""gpm"": 200}"
FAC-436-BLDG-03,,ASSET-000297,JTK265985,Lenovo,Q890B,Desktop Computer,In Service,2018-06-09,2019-11-03,60,
FAC-436-BLDG-03,210,ASSET-000298,RAR980680,Schneider Electric,M096B,Electrical Panel,Under Repair,2021-02-06,2024-11-20,300,
FAC-436-BLDG-03,201,ASSET-000299,SHZ518775,Taco,Z848E,Pump,In Service,2020-12-14,2023-06-27,120,"{""gpm"": 200}"
FAC-436-BLDG-03,107,ASSET-000300,CWQ704010,SMART,R549A,Interactive Display,In Service,2017-04-19,2020-08-18,96,
FAC-436-BLDG-04,105,ASSET-000301,YQA149673,KONE,R265C,Elevator,In Service,2018-05-18,2020-06-14,300,
FAC-436-BLDG-04,315,ASSET-000302,REB118941,SMART,R895C,Interactive Display,Spare,2022-06-14,2027-01-24,96,
FAC-436-BLDG-04,202,ASSET-000303,YEU418753,Juniper,Z870D,Router,In Service,2008-06-25,2011-04-23,84,
FAC-436-BLDG-04,109,ASSET-000304,FMM819431,Notifier,Z078B,Fire Alarm Panel,In Service,2009-06-27,2012-06-30,180,
FAC-436-BLDG-04,,ASSET-000305,MLU221799,Epson,Z052A,Projector,In Service,2011-04-07,2013-07-20,72,
FAC-436-BLDG-04,316,ASSET-000306,TTF358515,Ubiquiti,M958B,Network Switch,In Service,2022-09-02,2023-11-23,84,"{""ports"": 24}"
FAC-436-BLDG-04,203,ASSET-000307,FPA791260,LenelS2,M478C,Access Control Panel,In Service,2016-10-28,2018-09-24,180,
FAC-436-BLDG-04,113,ASSET-000308,KUJ468083,Hanwha,R047E,Security Camera,In Service,2014-02-10,2016-08-15,84,"{""resolution_mp"": 4}"
FAC-436-BLDG-04,202,ASSET-000309,SXC363150,Ubiquiti,X870E,Wireless AP,In Service,2019-01-26,2020-11-04,60,"{""wifi"": ""802.11ac""}"
FAC-436-BLDG-04,316,ASSET-000310,UUH854034,Vulcan,R778D,Range/Oven,In Service,2020-11-28,2024-07-17,144,
FAC-436-BLDG-04,305,ASSET-000311,XEX031901,LenelS2,M366E,Access Control Panel,In Service,2020-05-05,2024-02-15,180,
FAC-436-BLDG-04,109,ASSET-000312,DJL620829,Notifier,M629C,Fire Alarm Panel,In Service,2014-06-06,2018-09-03,180,
FAC-436-BLDG-04,111,ASSET-000313,LPX372328,Ubiquiti,R465C,Wireless AP,In Service,2017-04-14,2020-11-02,60,"{""wifi"": ""802.11ac""}"
FAC-436-BLDG-04,108,ASSET-000314,VDC954327,Canon,M117E,Printer,In Service,2015-12-14,2017-10-11,60,
FAC-436-BLDG-04,107,ASSET-000315,YYD955628,Grundfos,M109D,Pump,Retired,2006-09-30,2010-12-17,120,"{""gpm"": 300}"
FAC-436-BLDG-04,107,ASSET-000316,CAQ233615,Promethean,Z140D,Interactive Display,In Service,2006-06-16,2009-01-05,96,
FAC-436-BLDG-04,316,ASSET-000317,QNB637430,Garland,R993C,Range/Oven,In Service,2016-10-02,2020-04-01,144,
FAC-436-BLDG-04,306,ASSET-000318,TXT485139,Ubiquiti,Q744A,Wireless AP,In Service,2016-02-21,2017-07-05,60,"{""wifi"": ""802.11ax""}"
FAC-436-BLDG-04,316,ASSET-000319,PXE824835,True,X621C,Refrigerator (Kitchen),In Service,2007-01-26,2010-09-01,180,
FAC-436-BLDG-04,310,ASSET-000320,XLM621290,Schneider Electric,Z984D,Electrical Panel,In Service,2010-08-18,2014-04-28,300,
FAC-436-BLDG-05,109,ASSET-000321,PWD038112,KONE,R461C,Elevator,In Service,2015-09-05,2016-12-12,300,
FAC-436-BLDG-05,,ASSET-000322,QEH387263,EST,R016D,Fire Alarm Panel,In Service,2015-10-11,2017-07-31,180,
FAC-436-BLDG-05,104,ASSET-000323,FNV756987,Kohler,Z749A,Generator,In Service,2021-02-08,2024-06-11,240,"{""power_kw"": 50}"
FAC-436-BLDG-05,111,ASSET-000324,VXQ737082,Cisco,Q943B,Wireless AP,Spare,2020-06-20,2025-04-29,60,"{""wifi"": ""802.11ac""}"
FAC-436-BLDG-05,108,ASSET-000325,UUB175012,HP,X067A,Printer,In Service,2008-09-09,2009-09-30,60,
FAC-436-BLDG-05,102,ASSET-000326,TGP387650,SMART,M260A,Interactive Display,Under Repair,2006-07-18,2007-08-15,96,
FAC-436-BLDG-05,103,ASSET-000327,YWM616189,Siemens,X707E,Electrical Panel,In Service,2012-02-17,2014-05-28,300,
FAC-436-BLDG-05,101,ASSET-000328,PAH126394,Bosch,X117D,Security Camera,In Service,2017-02-22,2020-07-17,84,"{""resolution_mp"": 2}"
FAC-436-BLDG-05,107,ASSET-000329,KNS136978,Brother,Q306D,Printer,In Service,2015-07-04,2017-08-14,60,
FAC-436-BLDG-05,105,ASSET-000330,PGU644644,Daikin,X872D,HVAC - RTU,In Service,2006-06-09,2009-12-26,180,"{""tonnage"": 10}"
FAC-436-BLDG-05,107,ASSET-000331,BSZ361600,LenelS2,M610A,Access Control Panel,In Service,2006-06-13,2010-03-17,180,
FAC-436-BLDG-05,105,ASSET-000332,NAU981484,HID,Z455E,Access Control Panel,In Service,2019-09-12,2023-10-26,180,
FAC-436-BLDG-05,108,ASSET-000333,UPM554510,Aruba,Q143B,Wireless AP,In Service,2010-05-29,2013-07-10,60,"{""wifi"": ""802.11ax""}"
FAC-436-BLDG-05,104,ASSET-000334,TAX303336,Weil-McLain,Z008B,Boiler,In Service,2009-02-15,2011-11-16,180,
FAC-436-BLDG-05,103,ASSET-000335,MWP926593,Hanwha,X330B,Security Camera,In Service,2010-10-27,2012-05-14,84,"{""resolution_mp"": 2}"
FAC-436-BLDG-05,103,ASSET-000336,QJL487852,Ubiquiti,R357B,Wireless AP,In Service,2010-10-19,2014-01-19,60,"{""wifi"": ""802.11ac""}"
FAC-436-BLDG-05,108,ASSET-000337,MFV638452,Fortinet,Q030E,Router,In Service,2009-08-24,2013-07-14,84,
FAC-436-BLDG-05,108,ASSET-000338,FZT495674,Cleaver-Brooks,X078C,Boiler,In Service,2009-08-09,2010-12-09,180,
FAC-436-BLDG-05,104,ASSET-000339,KWX682216,HP,M277E,Desktop Computer,In Service,2018-04-25,2019-12-13,60,
FAC-436-BLDG-05,101,ASSET-000340,DDG861894,Aruba,M546A,Wireless AP,In Service,2021-10-12,2024-07-15,60,"{""wifi"": ""802.11ac""}"
FAC-436-BLDG-06,107,ASSET-000341,WFP516575,Aruba,Q683E,Wireless AP,In Service,2021-08-21,2023-12-21,60,"{""wifi"": ""802.11ax""}"
FAC-436-BLDG-06,104,ASSET-000342,FCF248056,Brother,Q787E,Printer,In Service,2011-06-04,2014-10-18,60,
FAC-436-BLDG-06,111,ASSET-000343,AZQ869672,HPE,Q937E,Network Switch,In Service,2016-09-22,2021-04-22,84,"{""ports"": 48}"
FAC-436-BLDG-06,102,ASSET-000344,KZG082289,Hanwha,X883E,Security Camera,In Service,2006-06-19,2011-01-28,84,"{""resolution_mp"": 2}"
FAC-436-BLDG-06,107,ASSET-000345,WTX886536,Simplex,Q894C,Fire Alarm Panel,Under Repair,2007-02-12,2009-12-12,180,
FAC-436-BLDG-06,101,ASSET-000346,AEH512776,Dell,R614D,Desktop Computer,In Service,2010-05-04,2015-03-08,60,
FAC-436-BLDG-06,104,ASSET-000347,VEK189829,HPE,M726E,Network Switch,Spare,2009-02-23,2013-07-30,84,"{""ports"": 24}"
FAC-436-BLDG-06,105,ASSET-000348,GCJ917494,Simplex,X714C,Fire Alarm Panel,In Service,2021-01-02,2023-04-06,180,
FAC-436-BLDG-06,104,ASSET-000349,LEF871170,Schneider Electric,Q827B,Electrical Panel,Retired,2018-05-19,2022-11-04,300,
FAC-436-BLDG-06,112,ASSET-000350,HSS777200,SMART,Z640A,Interactive Display,In Service,2018-05-25,2022-01-13,96,
FAC-436-BLDG-06,,ASSET-000351,QHK395525,Hanwha,Q570B,Security Camera,Retired,2013-03-01,2014-11-26,84,"{""resolution_mp"": 8}"
FAC-436-BLDG-06,108,ASSET-000352,GJL928954,Trane,Z394E,HVAC - AHU,In Service,2007-02-19,2010-11-21,240,"{""tonnage"": 7.5}"
FAC-436-BLDG-06,110,ASSET-000353,SLZ903744,Promethean,X120B,Interactive Display,Under Repair,2020-05-05,2022-01-13,96,
FAC-436-BLDG-06,105,ASSET-000354,QQZ554076,Lennox,X152E,HVAC - RTU,Spare,2023-01-30,2025-09-03,180,"{""tonnage"": 30}"
FAC-436-BLDG-06,109,ASSET-000355,BVR495096,Cisco,Z598A,Wireless AP,Retired,2016-05-17,2020-07-25,60,"{""wifi"": ""802.11ac""}"
FAC-436-BLDG-06,106,ASSET-000356,CGF730234,Hanwha,Z775D,Security Camera,In Service,2008-12-28,2010-11-08,84,"{""resolution_mp"": 8}"
FAC-436-BLDG-06,106,ASSET-000357,CJE432604,Johnson Controls,R996B,HVAC - AHU,In Service,2019-06-26,2022-12-01,240,"{""tonnage"": 5}"
FAC-436-BLDG-06,108,ASSET-000358,YNR040839,Grundfos,M966D,Pump,In Service,2016-12-04,2019-04-27,120,"{""gpm"": 150}"
FAC-436-BLDG-06,,ASSET-000359,CRP220516,Hanwha,X001C,Security Camera,In Service,2019-07-30,2022-10-11,84,"{""resolution_mp"": 8}"
FAC-436-BLDG-06,109,ASSET-000360,GZW117681,Lenovo,Z546D,Desktop Computer,In Service,2023-07-14,2026-09-29,60,
FAC-437-BLDG-01,107,ASSET-000361,HVQ696801,Bell & Gossett,M467D,Pump,In Service,2023-04-22,2028-03-16,120,"{""gpm"": 50}"
FAC-437-BLDG-01,115,ASSET-000362,NCU141974,Carrier,M128E,HVAC - RTU,In Service,2023-03-23,2026-09-28,180,"{""tonnage"": 7.5}"
FAC-437-BLDG-01,117,ASSET-000363,TZW755244,NEC,M800D,Projector,In Service,2009-12-12,2014-10-01,72,
FAC-437-BLDG-01,104,ASSET-000364,XLM493602,Dell,R543A,Laptop,In Service,2015-12-14,2019-05-29,48,
FAC-437-BLDG-01,114,ASSET-000365,TKL963491,Promethean,Q874E,Interactive Display,In Service,2008-03-03,2009-08-26,96,
FAC-437-BLDG-01,110,ASSET-000366,FPZ326185,True,X479C,Refrigerator (Kitchen),Under Repair,2016-02-02,2019-07-02,180,
FAC-437-BLDG-01,108,ASSET-000367,BXG165679,Cisco,X223B,Wireless AP,In Service,2013-05-30,2015-01-12,60,"{""wifi"": ""802.11ac""}"
FAC-437-BLDG-01,107,ASSET-000368,DHL570631,Hanwha,X168E,Security Camera,Under Repair,2013-10-24,2017-02-21,84,"{""resolution_mp"": 2}"
FAC-437-BLDG-01,106,ASSET-000369,TKR275714,Cisco,Q421B,Router,Spare,2013-05-16,2017-04-07,84,
FAC-437-BLDG-01,114,ASSET-000370,BJK743091,Bosch,Q477C,Security Camera,In Service,2009-06-30,2014-06-29,84,"{""resolution_mp"": 5}"
FAC-437-BLDG-01,111,ASSET-000371,XAG597425,HP,M653D,Laptop,In Service,2009-01-14,2012-07-07,48,
FAC-437-BLDG-01,115,ASSET-000372,TXN525336,Traulsen,R805B,Refrigerator (Kitchen),In Service,2005-10-18,2009-10-27,180,
FAC-437-BLDG-01,112,ASSET-000373,WGN179450,Generac,Q345D,Generator,In Service,2018-05-14,2022-08-17,240,"{""power_kw"": 250}"
FAC-437-BLDG-01,111,ASSET-000374,TST523583,Ubiquiti,M532D,Wireless AP,In Service,2007-09-14,2011-02-01,60,"{""wifi"": ""802.11ac""}"
FAC-437-BLDG-01,111,ASSET-000375,NQN324449,Otis,X844B,Elevator,In Service,2014-04-24,2016-03-22,300,
FAC-437-BLDG-01,105,ASSET-000376,SLA159181,Grundfos,M495C,Pump,In Service,2017-03-02,2018-05-23,120,"{""gpm"": 50}"
FAC-437-BLDG-01,107,ASSET-000377,ULY321705,Siemens,Z320A,Electrical Panel,In Service,2022-08-29,2025-12-31,300,
FAC-437-BLDG-01,115,ASSET-000378,QUN444837,Aruba,M974D,Wireless AP,In Service,2014-06-23,2017-08-24,60,"{""wifi"": ""802.11ax""}"
FAC-437-BLDG-01,102,ASSET-000379,WSP775151,Bell & Gossett,M987D,Pump,In Service,2010-09-22,2012-01-08,120,"{""gpm"": 300}"
