course_name,term_name,section_number,capacity,school_name
U.S. History,Fall Semester 2025,001,30,North Ridge Elementary
Government/Civics,Fall Semester 2025,001,30,North Ridge Elementary
Economics,Fall Semester 2025,001,30,North Ridge Elementary
Geography,Fall Semester 2025,001,30,North Ridge Elementary
Psychology,Fall Semester 2025,001,30,North Ridge Elementary
Sociology,Fall Semester 2025,001,30,North Ridge Elementary
Spanish I,Fall Semester 2025,001,30,North Ridge Elementary
Spanish II,Fall Semester 2025,001,30,North Ridge Elementary
French I,Fall Semester 2025,001,30,North Ridge Elementary
French II,Fall Semester 2025,001,30,North Ridge Elementary
German I,Fall Semester 2025,001,30,North Ridge Elementary
German II,Fall Semester 2025,001,30,North Ridge Elementary
Art I,Fall Semester 2025,001,30,North Ridge Elementary
Art II,Fall Semester 2025,001,30,North Ridge Elementary
Drawing,Fall Semester 2025,001,30,North Ridge Elementary
Painting,Fall Semester 2025,001,30,North Ridge Elementary
Sculpture,Fall Semester 2025,001,30,North Ridge Elementary
Digital Art,Fall Semester 2025,001,30,North Ridge Elementary
Band,Fall Semester 2025,001,30,North Ridge Elementary
Choir,Fall Semester 2025,001,30,North Ridge Elementary
Orchestra,Fall Semester 2025,001,30,North Ridge Elementary
Jazz Band,Fall Semester 2025,001,30,North Ridge Elementary
Music Theory,Fall Semester 2025,001,30,North Ridge Elementary
PE 9,Fall Semester 2025,001,30,North Ridge Elementary
PE 10,Fall Semester 2025,001,30,North Ridge Elementary
Weight Training,Fall Semester 2025,001,30,North Ridge Elementary
Lifetime Fitness,Fall Semester 2025,001,30,North Ridge Elementary
Health,Fall Semester 2025,001,30,North Ridge Elementary
Nutrition & Wellness,Fall Semester 2025,001,30,North Ridge Elementary
Business Essentials,Fall Semester 2025,001,30,North Ridge Elementary
Accounting,Fall Semester 2025,001,30,North Ridge Elementary
Marketing,Fall Semester 2025,001,30,North Ridge Elementary
Entrepreneurship,Fall Semester 2025,001,30,North Ridge Elementary
Computer Applications,Fall Semester 2025,001,30,North Ridge Elementary
Engineering/PLTW,Fall Semester 2025,001,30,North Ridge Elementary
Robotics,Fall Semester 2025,001,30,North Ridge Elementary
Culinary Arts,Fall Semester 2025,001,30,North Ridge Elementary
Construction Trades,Fall Semester 2025,001,30,North Ridge Elementary
Automotive Technology,Fall Semester 2025,001,30,North Ridge Elementary
Intro to Computer Science,Fall Semester 2025,001,30,North Ridge Elementary
AP Computer Science Principles,Fall Semester 2025,001,30,North Ridge Elementary
AP Computer Science A,Fall Semester 2025,001,30,North Ridge Elementary
Web Development,Fall Semester 2025,001,30,North Ridge Elementary
Cybersecurity,Fall Semester 2025,001,30,North Ridge Elementary
Data Science,Fall Semester 2025,001,30,North Ridge Elementary
Resource English,Fall Semester 2025,001,30,North Ridge Elementary
Resource Math,Fall Semester 2025,001,30,North Ridge Elementary
Study Skills,Fall Semester 2025,001,30,North Ridge Elementary
ELL Beginner,Fall Semester 2025,001,30,North Ridge Elementary
ELL Intermediate,Fall Semester 2025,001,30,North Ridge Elementary
ELL Advanced,Fall Semester 2025,001,30,North Ridge Elementary
Child Development,Fall Semester 2025,001,30,North Ridge Elementary
Foods & Nutrition,Fall Semester 2025,001,30,North Ridge Elementary
Family & Consumer Science,Fall Semester 2025,001,30,North Ridge Elementary
Agricultural Science,Fall Semester 2025,001,30,North Ridge Elementary
Animal Science,Fall Semester 2025,001,30,North Ridge Elementary
Plant Science,Fall Semester 2025,001,30,North Ridge Elementary
General Studies,Fall Semester 2025,001,30,North Ridge Elementary
English 9,Fall Semester 2025,001,30,South Prairie Elementary
English 10,Fall Semester 2025,001,30,South Prairie Elementary
English 11,Fall Semester 2025,001,30,South Prairie Elementary
English 12,Fall Semester 2025,001,30,South Prairie Elementary
Literature,Fall Semester 2025,001,30,South Prairie Elementary
Writing/Composition,Fall Semester 2025,001,30,South Prairie Elementary
Journalism,Fall Semester 2025,001,30,South Prairie Elementary
Speech/Communications,Fall Semester 2025,001,30,South Prairie Elementary
Reading,Fall Semester 2025,001,30,South Prairie Elementary
Math 6,Fall Semester 2025,001,30,South Prairie Elementary
Pre-Algebra,Fall Semester 2025,001,30,South Prairie Elementary
Algebra I,Fall Semester 2025,001,30,South Prairie Elementary
Geometry,Fall Semester 2025,001,30,South Prairie Elementary
Algebra II,Fall Semester 2025,001,30,South Prairie Elementary
Precalculus,Fall Semester 2025,001,30,South Prairie Elementary
Calculus,Fall Semester 2025,001,30,South Prairie Elementary
Statistics,Fall Semester 2025,001,30,South Prairie Elementary
Earth Science,Fall Semester 2025,001,30,South Prairie Elementary
Physical Science,Fall Semester 2025,001,30,South Prairie Elementary
Biology,Fall Semester 2025,001,30,South Prairie Elementary
Chemistry,Fall Semester 2025,001,30,South Prairie Elementary
Physics,Fall Semester 2025,001,30,South Prairie Elementary
Environmental Science,Fall Semester 2025,001,30,South Prairie Elementary
Anatomy & Physiology,Fall Semester 2025,001,30,South Prairie Elementary
World History,Fall Semester 2025,001,30,South Prairie Elementary
U.S. History,Fall Semester 2025,001,30,South Prairie Elementary
Government/Civics,Fall Semester 2025,001,30,South Prairie Elementary
Economics,Fall Semester 2025,001,30,South Prairie Elementary
Geography,Fall Semester 2025,001,30,South Prairie Elementary
Psychology,Fall Semester 2025,001,30,South Prairie Elementary
Sociology,Fall Semester 2025,001,30,South Prairie Elementary
Spanish I,Fall Semester 2025,001,30,South Prairie Elementary
Spanish II,Fall Semester 2025,001,30,South Prairie Elementary
French I,Fall Semester 2025,001,30,South Prairie Elementary
French II,Fall Semester 2025,001,30,South Prairie Elementary
German I,Fall Semester 2025,001,30,South Prairie Elementary
German II,Fall Semester 2025,001,30,South Prairie Elementary
Art I,Fall Semester 2025,001,30,South Prairie Elementary
Art II,Fall Semester 2025,001,30,South Prairie Elementary
Drawing,Fall Semester 2025,001,30,South Prairie Elementary
Painting,Fall Semester 2025,001,30,South Prairie Elementary
Sculpture,Fall Semester 2025,001,30,South Prairie Elementary
Digital Art,Fall Semester 2025,001,30,South Prairie Elementary
Band,Fall Semester 2025,001,30,South Prairie Elementary
Choir,Fall Semester 2025,001,30,South Prairie Elementary
Orchestra,Fall Semester 2025,001,30,South Prairie Elementary
Jazz Band,Fall Semester 2025,001,30,South Prairie Elementary
Music Theory,Fall Semester 2025,001,30,South Prairie Elementary
PE 9,Fall Semester 2025,001,30,South Prairie Elementary
PE 10,Fall Semester 2025,001,30,South Prairie Elementary
Weight Training,Fall Semester 2025,001,30,South Prairie Elementary
Lifetime Fitness,Fall Semester 2025,001,30,South Prairie Elementary
Health,Fall Semester 2025,001,30,South Prairie Elementary
Nutrition & Wellness,Fall Semester 2025,001,30,South Prairie Elementary
Business Essentials,Fall Semester 2025,001,30,South Prairie Elementary
Accounting,Fall Semester 2025,001,30,South Prairie Elementary
Marketing,Fall Semester 2025,001,30,South Prairie Elementary
Entrepreneurship,Fall Semester 2025,001,30,South Prairie Elementary
Computer Applications,Fall Semester 2025,001,30,South Prairie Elementary
Engineering/PLTW,Fall Semester 2025,001,30,South Prairie Elementary
Robotics,Fall Semester 2025,001,30,South Prairie Elementary
Culinary Arts,Fall Semester 2025,001,30,South Prairie Elementary
Construction Trades,Fall Semester 2025,001,30,South Prairie Elementary
Automotive Technology,Fall Semester 2025,001,30,South Prairie Elementary
Intro to Computer Science,Fall Semester 2025,001,30,South Prairie Elementary
AP Computer Science Principles,Fall Semester 2025,001,30,South Prairie Elementary
AP Computer Science A,Fall Semester 2025,001,30,South Prairie Elementary
Web Development,Fall Semester 2025,001,30,South Prairie Elementary
Cybersecurity,Fall Semester 2025,001,30,South Prairie Elementary
Data Science,Fall Semester 2025,001,30,South Prairie Elementary
Resource English,Fall Semester 2025,001,30,South Prairie Elementary
Resource Math,Fall Semester 2025,001,30,South Prairie Elementary
Study Skills,Fall Semester 2025,001,30,South Prairie Elementary
ELL Beginner,Fall Semester 2025,001,30,South Prairie Elementary
ELL Intermediate,Fall Semester 2025,001,30,South Prairie Elementary
ELL Advanced,Fall Semester 2025,001,30,South Prairie Elementary
Child Development,Fall Semester 2025,001,30,South Prairie Elementary
Foods & Nutrition,Fall Semester 2025,001,30,South Prairie Elementary
Family & Consumer Science,Fall Semester 2025,001,30,South Prairie Elementary
Agricultural Science,Fall Semester 2025,001,30,South Prairie Elementary
Animal Science,Fall Semester 2025,001,30,South Prairie Elementary
Plant Science,Fall Semester 2025,001,30,South Prairie Elementary
General Studies,Fall Semester 2025,001,30,South Prairie Elementary
